"Source:","D:\Develop\3340VCO\KiCAD\3340VCO\3340VCO.kicad_sch"
"Date:","2023/07/24 16:57:43"
"Tool:","Eeschema (6.0.11)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","77"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"25","2","R16, R27","1M","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"26","5","R19, R20, R21, R22, R30","100k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"27","2","R23, R26","470","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"28","1","R24","1.8k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"29","1","R25","1.5M","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"30","1","R28","47k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"31","1","R29","100","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"32","1","RV1","1k","Device:R_Potentiometer","Potentiometer_THT:Potentiometer_Alps_RK09Y11_Single_Horizontal","~"
"33","1","RV2","5k","Device:R_Potentiometer_Trim","myfootprint:Potentiometer_Bourns_3362P_Vertical","~"
"34","1","RV3","100k","Device:R_Potentiometer","Potentiometer_THT:Potentiometer_Alps_RK09Y11_Single_Horizontal","~"
"35","2","RV4, RV8","50k","Device:R_Potentiometer","Potentiometer_THT:Potentiometer_Alps_RK09Y11_Single_Horizontal","~"
"36","1","RV5","100k","Device:R_Potentiometer_Trim","myfootprint:Potentiometer_Bourns_3362P_Vertical","~"
"37","1","RV6","10k","Device:R_Potentiometer_Trim","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical","~"
"38","1","RV7","50k","Device:R_Potentiometer_Trim","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical","~"
"39","1","SW1","SW_Rotary5","My_Device:SW_Rotary5","myfootprint:Rotary_Ecoder_Ali_Jtom",""
"40","1","TP1","+5V","Connector:TestPoint","TestPoint:TestPoint_Pad_D1.0mm","~"
"41","4","U1, U2, U3, U4","NJM072D","Amplifier_Operational:TL072","Package_DIP:DIP-8_W7.62mm_Socket","http://www.ti.com/lit/ds/symlink/tl071.pdf"
"42","1","U5","AS3340","My_Device0:AS3340","Package_DIP:DIP-16_W7.62mm_Socket",""
